species,identifier,higher_taxon,common_name,highest_common_name
Colias croceus,SDNHM128558_V,Papilionoidea,Papilionoid butterflies,butterflies
Colla sp,04-SRNP-4956-DHJ329585%2B1145303950,Bombycoidea,Sphynx/Silk moths,moths
Coptotriche citrinipennella,MEM52322_Tisheria_citripennell_1538073160_lg,Tischerioidea,Trumpet leaf miner moths,moths
Culama sp,10ANIC_09161%2B1288924012,Cossoidea,Carpenter moths,moths
Cyclidia substigmaria,10552832444_71dcb73a86_q,Drepanoidea,Hook-tip moths,moths
Cyclidia substigmaria,5980306977_c35f4088d3_q,Drepanoidea,Hook-tip moths,moths
Cyclidia substigmaria,IMG_018695,Drepanoidea,Hook-tip moths,moths
Cyclidia substigmaria,IMG_018696,Drepanoidea,Hook-tip moths,moths
Cyclidia substigmaria,IMG_018697,Drepanoidea,Hook-tip moths,moths
Cyclidia substigmaria,IMG_018701,Drepanoidea,Hook-tip moths,moths
Cyclidia substigmaria,IMG_018702,Drepanoidea,Hook-tip moths,moths
Cyclidia substigmaria,IMG_018706,Drepanoidea,Hook-tip moths,moths
Cyclidia substigmaria,IMG_018707,Drepanoidea,Hook-tip moths,moths
Cydia pomonella,0017E3CDFBE01EE2D021A8ECE56FDCC50FCFD86EE3F6C4ADAD500C899F34DA60,Tortricoidea,Tortrix moths,moths
Cydia pomonella,25F4758BA1D8A41B9D6306A8FF0252880B0D8E5078784D02FD973AF09CD99F04,Tortricoidea,Tortrix moths,moths
Cydia pomonella,2C189CA9D046591A431EE3F47C0E264B556E2702CC9A95E29306FF0FAB9F95E3,Tortricoidea,Tortrix moths,moths
Cydia pomonella,57C2BFDB04620B6A9C0CD3EEAA8F1C0E068895D5461886A8CFEBE06B3F043BAD,Tortricoidea,Tortrix moths,moths
Cydia pomonella,65081AE38969445C2A22F1837CC3B019939FB18E82C38A3220816AC87261A38A,Tortricoidea,Tortrix moths,moths
Cydia pomonella,8FFCC115FCA05F47447256C3962B3026207971AA83DD877A06764F200A0E2507,Tortricoidea,Tortrix moths,moths
Cydia pomonella,AF682FAA948A6BADDC26E15982823710657D6165138D58214146DE1C22C6B389,Tortricoidea,Tortrix moths,moths
Cydia pomonella,ASUHIC0026968_habitus_dorsal_1555539012_lg,Tortricoidea,Tortrix moths,moths
